business_id,review_cool,review_funny,review_id,review_stars,review_useful,user_id,attributes_DogsAllowed,attributes_DriveThru,attributes_GoodForKids,good_for_dessert,good_for_late_night,good_for_lunch,good_for_dinner,good_for_brunch,good_for_breakfast,attributes_HasTV,attributes_NoiseLevel,attributes_OutdoorSeating,attributes_RestaurantsAttire,attributes_RestaurantsDelivery,attributes_RestaurantsGoodForGroups,attributes_RestaurantsPriceRange,attributes_RestaurantsReservations,attributes_RestaurantsTableService,attributes_RestaurantsTakeOut,attributes_Smoking,attributes_WheelchairAccessible,attributes_WiFi,categories,city,is_open,name,bus_review_count,bus_stars,state,cuisine,user_average_stars,bus_cool,user_review_count
P2GBKrx7dJg3xeGtuU2K-A,0,0,Uv2YBP5zcN9HsoesVhKWcw,5,0,6PuMHxTcMlbwbuzL6aG_pA,,,1,0,0,0,1,0,0,1,average,1,casual,0,1,2,1,,1,,,free,"Seafood Markets, Food, American (Traditional), Specialty Food, Venues & Event Spaces, Event Planning & Services, Seafood, Sushi Bars, Restaurants",Phoenix,1,Bluewater Grill,645,4,AZ,American,3.38,1,19
UotZUkpcI0p2J8RUAD36Ng,0,0,KJN1vmoSQIt4BBAA2YBG1Q,5,0,eBJke4QbwIRaj6IEcIfmQQ,0,,0,0,1,0,1,0,0,1,average,1,casual,1,1,2,1,1,1,no,0,free,"Whiskey Bars, Food, Restaurants, American (New), Cocktail Bars, Beer, Wine & Spirits, Bars, Lounges, Gluten-Free, Gastropubs, Seafood, Nightlife",Scottsdale,1,Second Story Restaurant & Liquor Bar,459,4.5,AZ,American,2.93,2,27
ot9iwwY_oSzf9VWkEl4XkA,0,0,a4stORZS-GiO0QAZg70W7Q,3,3,QJI9OSEn6ujRCtrX06vs1w,,,,,,,,,,1,,,casual,1,,2,0,,1,,,,"Restaurants, Pizza, Fast Food",Scottsdale,1,Papa John's Pizza,22,2.5,AZ,Others,3.61,10043,1982
LVFcpLkD6iOG8YRlJjLSig,0,1,pfg_O3LtVjkc7qRegCKBCg,4,1,l0uRV3nGEroXqsPypD4qdQ,,,0,0,1,0,1,0,0,1,average,1,casual,0,1,1,0,1,1,,,no,"Beer, Wine & Spirits, Food, Bars, Mexican, Local Flavor, Tex-Mex, Gay Bars, Nightlife, Restaurants",Scottsdale,1,Flicka's Baja Cantina,88,3.5,AZ,Mexican,3.85,155,325
SmuBKELZUq--cqXvKVZnpg,0,0,CSiJedwiZ_1m1ziH0lObyQ,1,0,OgJKswDMHhUMUCGHW4j7Pg,,1,0,0,0,0,0,0,0,0,average,1,casual,0,1,1,0,0,1,,,no,"Ice Cream & Frozen Yogurt, Restaurants, Food, Fast Food, Desserts",Gilbert,1,Dairy Queen - Orange Julius,32,2.5,AZ,Others,3.3,16,35
YPavuOh2XsnRbLfl0DH2lQ,1,1,0ryT3lEeRNcdcKAAhZ5BfA,5,5,fCWEsW3lhZk2RQ0zPrqvsw,,,1,0,0,1,1,0,0,1,average,1,casual,0,1,2,0,,1,,,free,"Soul Food, Southern, Waffles, Restaurants",Phoenix,1,Lo-Lo's Chicken & Waffles,1807,4,AZ,Others,3.85,158,349
MM8n7SPaIuMlDGbUM5SZhA,0,0,zQkBe-HN67Ah2cKVosd6Rg,3,0,HTfPr6V6Pe9Zd0cBsDqnHA,,,1,,,,,,,1,average,0,casual,0,1,2,1,,0,,,no,"Arts & Entertainment, Cinema, Beer, Wine & Spirits, American (Traditional), Food, Restaurants",Phoenix,1,AMC Dine-in Theatres Esplanade 14,763,3,AZ,American,3.81,9,40
u6xb2aUAvX6i1WhsQWqgWg,0,1,pPUBdBRQs8_wZeF7z-SzLw,4,1,TqPiJAXEJGUjsLRIMIt-8g,,,1,0,0,1,0,0,0,1,average,0,casual,0,1,2,0,1,1,,,no,"Chicken Wings, Breakfast & Brunch, Southern, Soul Food, Restaurants",Scottsdale,0,Lo-Lo's Chicken & Waffles,622,4,AZ,Others,4,25,78
3JnO3AEqRD8DbXkWP-gTFw,0,1,nChH_z_tj_6Uz_bpt1XX4g,2,0,0cZJsSryFAKKPNQDo_2bdw,,,1,0,0,1,0,0,0,0,average,1,casual,1,1,1,0,,1,no,,free,"Restaurants, Sandwiches, Caterers, Breakfast & Brunch, Soup, Event Planning & Services, Fast Food",Tempe,1,Arizona Sandwich Co. & Catering,133,4,AZ,Others,3.47,4,41
EYWaN9sLjVYdi7fKIRguVA,0,0,DQ0nTQlLJoNTEmDxcKJbGg,5,0,GQ-jAKIajOPYY5Qk0s0MJQ,,,1,,,,,,,0,average,0,casual,0,1,1,0,,1,,,no,"Restaurants, Mexican, Tex-Mex, Fast Food",Phoenix,1,Taco Bell,14,3,AZ,Mexican,4.53,14,73
